scenario_label,stage,failure_label,count
Sebelum improvements,IK_ELBOW_UP,IK_ELBOW_UP,38
Sebelum improvements,COLLISION_CHECK,robot-env contact: table/1 <-> left_finger/82,16
Sebelum improvements,TRAJECTORY_EXEC,collision_at_waypoint_0,16
Sebelum improvements,PICK,move_pregrasp_failed | pregrasp,15
Sebelum improvements,MOVE_POSE,ompl_failed_no_fallback | pick(circle1) pregrasp,3
Sebelum improvements,MOVE_POSE,ompl_failed_no_fallback | pick(circle2) pregrasp,3
Sebelum improvements,MOVE_POSE,ompl_failed_no_fallback | pick(circle3) pregrasp,3
Sebelum improvements,MOVE_POSE,ompl_failed_no_fallback | pick(circle4) pregrasp,3
Sesudah improvements,IK_SOLVE,ik_error_above_plan_limit,18
Sesudah improvements,PICK,move_pregrasp_failed | pregrasp,18
Two arm,PICK,move_grasp_failed | grasp,6
Two arm,TRAJECTORY_EXEC,collision_at_waypoint_1,5
Two arm,COLLISION_CHECK,robot-env contact: table/1 <-> right_left_finger/161,4
Two arm,TRAJECTORY_EXEC,collision_during_final_settle,4
Two arm,IK_SOLVE,ik_error_above_plan_limit,3
Two arm,COLLISION_CHECK,robot-env contact: table/1 <-> left_finger/80,2
Two arm,COLLISION_CHECK,robot-env contact: table/1 <-> left_finger/82,2
Two arm,COLLISION_CHECK,robot-env contact: table/1 <-> right_left_finger/163,2
