task,scene,success,objects_moved,objects_total,failed_count,failed_json,duration_ms,llm_used,parsed_task,parsed_scene,summary_file,event_file,pair_delta_s,hint_loaded,hint_events,ik_candidates,ik_rejects,backend_fallbacks,check_pick_failed,check_pick_ok,scenario_type,obstacle_mode,success_count,failure_count,object_success_rate,no_obs_success_rate,obs_success_rate,static_success_rate,random_success_rate,failure_reason_counts_json,success_bool
align_cubes,group_no_obs,False,3,4,1,"[{""object_id"": ""cube4"", ""stage"": ""pick"", ""z"": 0.829, ""attempts"": 3}]",134317,False,align_cubes,group_no_obs,align_cubes_group_no_obs_20260526_232400.csv,align_cubes_group_no_obs_20260526_232140_events.csv,140.0,False,0,137,56,0,3,3,,,,,,,,,,,False
align_cubes,group_no_obs,True,4,4,0,[],146340,False,align_cubes,group_no_obs,align_cubes_group_no_obs_20260527_204557.csv,align_cubes_group_no_obs_20260527_204324_events.csv,153.0,False,0,263,121,151,0,4,static,no_obs,4.0,0.0,1.0,1.0,,1.0,,{},True
align_cubes,group_no_obs,True,4,4,0,[],153802,False,align_cubes,group_no_obs,align_cubes_group_no_obs_20260528_225524.csv,align_cubes_group_no_obs_20260528_225257_events.csv,147.0,False,0,263,121,151,0,4,static,no_obs,4.0,0.0,1.0,1.0,,1.0,,{},True
align_cubes,group_obs,False,1,4,3,"[{""object_id"": ""cube2"", ""stage"": ""precheck"", ""failure_reason"": ""object_near_obstacle_safety_skip"", ""obstacle_distance"": 0.1612, ""obstacle_status"": ""NEAR""}, {""object_id"": ""cube3"", ""stage"": ""precheck"", ""failure_reason"": ""object_near_obstacle_safety_skip"", ""obstacle_distance"": 0.172, ""obstacle_status"": ""NEAR""}, {""object_id"": ""cube1"", ""stage"": ""place"", ""failure_reason"": ""object_not_on_target_after_place"", ""actual"": [0.04, -0.395, 0.829]}]",38567,False,align_cubes,group_obs,align_cubes_group_obs_20260527_215406.csv,align_cubes_group_obs_20260527_215315_events.csv,51.0,False,0,128,56,70,0,2,static,obs,1.0,3.0,0.25,,0.25,0.25,,"{""object_near_obstacle_safety_skip"": 2, ""object_not_on_target_after_place"": 1}",False
align_cubes,group_obs,True,4,4,0,[],92203,False,align_cubes,group_obs,align_cubes_group_obs_20260528_215316.csv,align_cubes_group_obs_20260528_215145_events.csv,91.0,False,0,350,160,195,0,4,static,obs,4.0,0.0,1.0,,1.0,1.0,,{},True
align_cubes,group_obs,True,4,4,0,[],143280,False,align_cubes,group_obs,align_cubes_group_obs_20260528_222451.csv,align_cubes_group_obs_20260528_222226_events.csv,145.0,False,0,365,185,234,0,4,static,obs,4.0,0.0,1.0,,1.0,1.0,,{},True
align_cubes,group_obs,False,3,4,1,"[{""object_id"": ""cube1"", ""stage"": ""pick"", ""failure_reason"": ""object_not_lifted_after_pick"", ""z"": 0.829, ""actual"": [0.004, -0.3414, 0.8294], ""attempts"": 3}]",157046,False,align_cubes,group_obs,align_cubes_group_obs_20260529_054943.csv,align_cubes_group_obs_20260529_054702_events.csv,161.0,False,0,443,269,302,2,4,static,obs,3.0,1.0,0.75,,0.75,0.75,,"{""object_not_lifted_after_pick"": 1}",False
align_cubes,group_obs,True,4,4,0,[],176796,False,align_cubes,group_obs,align_cubes_group_obs_20260529_055607.csv,align_cubes_group_obs_20260529_055310_events.csv,177.0,False,0,502,280,319,0,5,static,obs,4.0,0.0,1.0,,1.0,1.0,,{},True
align_cubes,group_obs,True,4,4,0,[],170900,False,align_cubes,group_obs,align_cubes_group_obs_20260529_060046.csv,align_cubes_group_obs_20260529_055758_events.csv,168.0,False,0,502,280,319,0,5,static,obs,4.0,0.0,1.0,,1.0,1.0,,{},True
align_cubes,group_obs,False,3,4,1,"[{""object_id"": ""cube1"", ""stage"": ""pick"", ""failure_reason"": ""object_not_lifted_after_pick"", ""z"": 0.829, ""actual"": [0.0093, -0.3284, 0.8294], ""attempts"": 3}]",145961,False,align_cubes,group_obs,align_cubes_group_obs_20260529_064747.csv,align_cubes_group_obs_20260529_064518_events.csv,149.0,False,0,439,261,293,2,4,static,obs,3.0,1.0,0.75,,0.75,0.75,,"{""object_not_lifted_after_pick"": 1}",False
