event_id,timestamp,stage,status,arm,object_id,phase,label,planner,attempt,waypoints,duration_ms,grip,target_xyz,actual_xyz,ee_xyz,object_xyz,object_z,held_object,finger_pos,q,q_target,q_error_norm,pos_err,ori_err,iterations,distance_to_target,ignored_body_names,failure_reason,collision_pair,contact_count,penetration,obstacle_distance,extra_json,run_id,task,scene,run_ts,is_event,file,scenario_type,obstacle_mode,backend,candidate_id,seed_id,joint_limit_valid,state_valid,state_invalid_reason,ompl_result,execution_result,timestamp_dt
228,2026-05-26T23:13:43.166,COLLISION_CHECK,BLOCKED,left,,trajectory final settle,,,,,,,,,"[0.2075, -0.0, 0.989]",,,,0.04,"[0.0007, 0.5351, -0.0008, -1.9857, -0.0001, 2.4926, -0.7502]",,,,,,,[],robot-env contact: circle2/10 <-> right_finger/88,"[""circle2"", ""right_finger""]",37.0,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:43.166
229,2026-05-26T23:13:43.186,TRAJECTORY_EXEC,FAILED,left,,,,,,55.0,2276.0,,,,"[0.2075, -0.0, 0.989]",,,,0.04,"[0.0007, 0.5351, -0.0008, -1.9857, -0.0001, 2.4926, -0.7502]","[0.0, 0.529, 0.0, -1.98, 0.0, 2.495, -0.75]",0.0088,,,,,,collision_during_final_settle,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:43.186
230,2026-05-26T23:13:43.214,TRANSIT,FAILED,,,"after place(0.168, 0.005)",,,,,,,,,,,,,,,,,,,,,,,,,,,"{""target"": ""GRASP_READY""}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:43.214
245,2026-05-26T23:13:45.342,COLLISION_CHECK,BLOCKED,left,,trajectory waypoint 0,,,,,,,,,"[0.2078, -0.0001, 0.9882]",,,,0.04,"[0.0, 0.5373, -0.0001, -1.9846, -0.0001, 2.4943, -0.75]",,,,,,,[],robot-env contact: circle2/10 <-> right_finger/88,"[""circle2"", ""right_finger""]",43.0,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:45.342
246,2026-05-26T23:13:45.369,TRAJECTORY_EXEC,FAILED,left,,,,,,63.0,59.0,,,,"[0.2078, -0.0001, 0.9882]",,,,0.04,"[0.0, 0.5373, -0.0001, -1.9846, -0.0001, 2.4943, -0.75]","[-0.0, 0.5373, -0.0001, -1.9846, -0.0001, 2.4942, -0.75]",0.0001,,,,,,collision_at_waypoint_0,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:45.369
247,2026-05-26T23:13:45.399,MOVE_POSE,FAILED,left,,pick(circle3) pregrasp,,,,,,,"[0.22, 0.26, 1.1382]",,"[0.2078, -0.0001, 0.9882]",,,,0.04,"[0.0, 0.5373, -0.0001, -1.9846, -0.0001, 2.4943, -0.75]",,,,,,,,ompl_failed_no_fallback,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:45.399
248,2026-05-26T23:13:45.424,PICK,FAILED,left,circle3,pregrasp,,,,,,,"[0.22, 0.26, 1.1382]",,"[0.2078, -0.0001, 0.9882]","[0.22, 0.26, 0.8382]",,,0.04,"[0.0, 0.5373, -0.0001, -1.9846, -0.0001, 2.4943, -0.75]",,,,,,,,move_pregrasp_failed,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:45.424
249,2026-05-26T23:13:45.448,CHECK_PICK,FAILED,,circle3,pick,,,1.0,,,,,,,,0.838,,,,,,,,,,,object_not_lifted_after_pick,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:45.448
257,2026-05-26T23:13:46.682,COLLISION_CHECK,BLOCKED,left,,trajectory waypoint 0,,,,,,,,,"[0.2049, -0.0001, 0.9816]",,,,0.04,"[0.0, 0.5454, -0.0002, -1.989, -0.0003, 2.4935, -0.75]",,,,,,,[],robot-env contact: circle2/10 <-> right_finger/88,"[""circle2"", ""right_finger""]",43.0,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:46.682
258,2026-05-26T23:13:46.709,TRAJECTORY_EXEC,FAILED,left,,,,,,3.0,48.0,,,,"[0.2049, -0.0001, 0.9816]",,,,0.04,"[0.0, 0.5454, -0.0002, -1.989, -0.0003, 2.4935, -0.75]","[0.0, 0.5454, -0.0002, -1.989, -0.0003, 2.4935, -0.75]",0.0001,,,,,,collision_at_waypoint_0,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:46.709
