event_id,timestamp,stage,status,arm,object_id,phase,label,planner,attempt,waypoints,duration_ms,grip,target_xyz,actual_xyz,ee_xyz,object_xyz,object_z,held_object,finger_pos,q,q_target,q_error_norm,pos_err,ori_err,iterations,distance_to_target,ignored_body_names,failure_reason,collision_pair,contact_count,penetration,obstacle_distance,extra_json,run_id,task,scene,run_ts,is_event,file,scenario_type,obstacle_mode,backend,candidate_id,seed_id,joint_limit_valid,state_valid,state_invalid_reason,ompl_result,execution_result,timestamp_dt
19,2026-05-26T23:12:54.121,OMPL_PLAN,START,left,,pick(circle1) pregrasp,,RRTConnect,,,,0.04,,,"[0.2114, -0.0001, 1.0]",,,,0.04,"[-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511]","[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]",0.9724,,,,,[],,,,,,"{""time_limit"": 6.0, ""start_q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511], ""goal_q"": [0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018], ""planner_attempts"": [""RRTConnect"", ""BITstar""]}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:54.121
20,2026-05-26T23:12:54.322,OMPL_PLAN,OK,left,,pick(circle1) pregrasp,,RRTConnect,,99.0,173.0,,,,"[0.2114, -0.0001, 1.0]",,,,0.04,"[-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511]","[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]",0.9724,,,,,,,,,,,"{""path_length"": 0.9724, ""selected_goal_q"": [0.3803543438386005, -0.10088686145471479, 0.17827933654677983, -2.4711768190337593, 0.030842498163282977, 2.366628924538685, -0.4018256352161234]}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:54.322
33,2026-05-26T23:12:58.745,OMPL_PLAN,START,left,,pick(circle1) grasp,,RRTConnect,,,,0.04,,,"[-0.0073, 0.2454, 1.1255]",,,,0.04,"[0.3802, -0.0957, 0.1786, -2.4757, 0.0307, 2.3659, -0.4022]","[0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762]",0.6794,,,,,"[""circle1""]",,,,,,"{""time_limit"": 6.0, ""start_q"": [0.3802, -0.0957, 0.1786, -2.4757, 0.0307, 2.3659, -0.4022], ""goal_q"": [0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762], ""planner_attempts"": [""RRTConnect"", ""BITstar""]}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:58.745
34,2026-05-26T23:12:58.876,OMPL_PLAN,OK,left,,pick(circle1) grasp,,RRTConnect,,69.0,98.0,,,,"[-0.0073, 0.2454, 1.1255]",,,,0.04,"[0.3802, -0.0957, 0.1786, -2.4757, 0.0307, 2.3659, -0.4022]","[0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762]",0.6794,,,,,,,,,,,"{""path_length"": 0.6794, ""selected_goal_q"": [0.47270759712388094, 0.3459305436681491, 0.07292900574582213, -2.5194218969253988, -0.05734537617074331, 2.852278106999115, -0.3761773709778713]}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:58.876
48,2026-05-26T23:13:02.799,OMPL_PLAN,START,left,,pick(circle1) lift,,RRTConnect,,,,0.014,,,"[-0.0158, 0.2399, 0.944]","[-0.0185, 0.2406, 0.8381]",,circle1,0.0235,"[0.4727, 0.3521, 0.0727, -2.5226, -0.0574, 2.8515, -0.3762]","[0.4941, -0.1217, 0.0665, -2.4914, 0.0151, 2.3715, -0.4373]",0.6822,,,,,"[""circle1""]",,,,,,"{""time_limit"": 6.0, ""start_q"": [0.4727, 0.3521, 0.0727, -2.5226, -0.0574, 2.8515, -0.3762], ""goal_q"": [0.4941, -0.1217, 0.0665, -2.4914, 0.0151, 2.3715, -0.4373], ""planner_attempts"": [""RRTConnect"", ""BITstar""]}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:02.799
49,2026-05-26T23:13:02.926,OMPL_PLAN,OK,left,,pick(circle1) lift,,RRTConnect,,70.0,88.0,,,,"[-0.0158, 0.2399, 0.944]","[-0.0185, 0.2406, 0.8381]",,circle1,0.0235,"[0.4727, 0.3521, 0.0727, -2.5226, -0.0574, 2.8515, -0.3762]","[0.4941, -0.1217, 0.0665, -2.4914, 0.0151, 2.3715, -0.4373]",0.6822,,,,,,,,,,,"{""path_length"": 0.6822, ""selected_goal_q"": [0.4941057846792422, -0.12173937532288126, 0.06645153544168199, -2.491366054684168, 0.01505337040013695, 2.371461748714698, -0.43727059461193907]}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:02.926
67,2026-05-26T23:13:06.666,OMPL_PLAN,START,left,,"place(0.062, 0.005) preplace",,RRTConnect,,,,0.014,,,"[-0.0129, 0.243, 1.1278]","[-0.0141, 0.2447, 1.0167]",,circle1,0.0239,"[0.4941, -0.1167, 0.0666, -2.4962, 0.0148, 2.3711, -0.4372]","[0.2063, -0.097, -0.18, -2.4745, -0.039, 2.3803, -0.7706]",0.5086,,,,,"[""circle1""]",,,,,,"{""time_limit"": 6.0, ""start_q"": [0.4941, -0.1167, 0.0666, -2.4962, 0.0148, 2.3711, -0.4372], ""goal_q"": [0.2063, -0.097, -0.18, -2.4745, -0.039, 2.3803, -0.7706], ""planner_attempts"": [""RRTConnect"", ""BITstar""]}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:06.666
68,2026-05-26T23:13:06.789,OMPL_PLAN,OK,left,,"place(0.062, 0.005) preplace",,RRTConnect,,52.0,94.0,,,,"[-0.0129, 0.243, 1.1278]","[-0.0141, 0.2447, 1.0167]",,circle1,0.0239,"[0.4941, -0.1167, 0.0666, -2.4962, 0.0148, 2.3711, -0.4372]","[0.2063, -0.097, -0.18, -2.4745, -0.039, 2.3803, -0.7706]",0.5086,,,,,,,,,,,"{""path_length"": 0.5086, ""selected_goal_q"": [0.2062528476167665, -0.09700496901064623, -0.18000775989879564, -2.4744677533267105, -0.03895752188195403, 2.3803208094472548, -0.7706279491841569]}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:06.789
80,2026-05-26T23:13:09.617,OMPL_PLAN,START,left,,"place(0.062, 0.005) release",,RRTConnect,,,,0.014,,,"[0.0631, 0.0122, 1.1235]","[0.0621, 0.0136, 1.0091]",,circle1,0.0242,"[0.2064, -0.0922, -0.1803, -2.4795, -0.039, 2.3795, -0.7699]","[0.1443, 0.2257, -0.1223, -2.5037, 0.051, 2.7155, -0.8308]",0.4833,,,,,"[""circle1""]",,,,,,"{""time_limit"": 6.0, ""start_q"": [0.2064, -0.0922, -0.1803, -2.4795, -0.039, 2.3795, -0.7699], ""goal_q"": [0.1443, 0.2257, -0.1223, -2.5037, 0.051, 2.7155, -0.8308], ""planner_attempts"": [""RRTConnect"", ""BITstar""]}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:09.617
81,2026-05-26T23:13:09.759,OMPL_PLAN,OK,left,,"place(0.062, 0.005) release",,RRTConnect,,50.0,116.0,,,,"[0.0631, 0.0122, 1.1235]","[0.0621, 0.0136, 1.0091]",,circle1,0.0242,"[0.2064, -0.0922, -0.1803, -2.4795, -0.039, 2.3795, -0.7699]","[0.1443, 0.2257, -0.1223, -2.5037, 0.051, 2.7155, -0.8308]",0.4833,,,,,,,,,,,"{""path_length"": 0.4833, ""selected_goal_q"": [0.14434606871521086, 0.22574483126676462, -0.12229764064917462, -2.503721097031062, 0.05103659361215908, 2.7154866018595376, -0.8308030788175043]}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:09.759
