file,run_id,task,scene,rows,start,end,ik_ok,ik_reject,ompl_ok,ompl_failed,trajectory_ok,trajectory_failed,top_failures,top_collision_pairs
align_cubes_group_no_obs_20260526_232140_events.csv,align_cubes_group_no_obs_20260526_232140,align_cubes,group_no_obs,607,2026-05-26 23:21:45.911,2026-05-26 23:23:59.393,51,56,30,0,30,0,robot-env contact: table/1 <-> left_finger/80: 14; robot-env contact: cube4/8 <-> hand/77: 13; object_not_lifted_after_pick: 3; pick_failed_try_other_candidate: 2; ik_error_above_plan_limit: 2; move_grasp_failed: 2; robot-env contact: cube4/8 <-> left_finger/81: 1; robot-env contact: cube4/8 <-> left_finger/80: 1,
align_cubes_group_no_obs_20260527_184528_events.csv,align_cubes_group_no_obs_20260527_184528,align_cubes,group_no_obs,607,2026-05-27 18:45:38.713,2026-05-27 18:49:03.885,51,56,30,0,30,0,robot-env contact: table/1 <-> left_finger/80: 14; robot-env contact: cube4/8 <-> hand/77: 13; object_not_lifted_after_pick: 3; pick_failed_try_other_candidate: 2; ik_error_above_plan_limit: 2; move_grasp_failed: 2; robot-env contact: cube4/8 <-> left_finger/81: 1; robot-env contact: cube4/8 <-> left_finger/80: 1,
align_cubes_group_no_obs_20260527_194118_events.csv,align_cubes_group_no_obs_20260527_194118,align_cubes,group_no_obs,752,2026-05-27 19:41:32.750,2026-05-27 19:44:35.287,315,177,17,0,16,0,ik_error_above_limit: 126; ik_goal_collision_invalid: 51; object_not_lifted: 3; object_not_lifted_after_pick: 3; pick_failed_try_other_candidate: 3; No module named 'pinocchio': 1; pinocchio_unavailable_or_not_requested: 1,
align_cubes_group_no_obs_20260527_201219_events.csv,align_cubes_group_no_obs_20260527_201219,align_cubes,group_no_obs,736,2026-05-27 20:12:26.899,2026-05-27 20:14:17.301,0,468,12,0,12,0,ik_error_above_limit: 480; move_pregrasp_failed: 12; object_not_lifted_after_pick: 12; pick_failed_try_other_candidate: 8,
align_cubes_group_no_obs_20260527_202105_events.csv,align_cubes_group_no_obs_20260527_202105,align_cubes,group_no_obs,2356,2026-05-27 20:21:13.545,2026-05-27 20:26:37.171,255,865,32,0,22,10,pinocchio_fk_validation_failed: 724; ik_error_above_limit: 670; ik_goal_collision_invalid: 194; robot-env contact: table/1 <-> left_finger/80: 15; object_not_lifted_after_pick: 11; robot-env contact: cube1/5 <-> hand/77: 9; ompl_or_execution_failed: 9; ik_orientation_error_above_limit: 9,"[""table"", ""left_finger""]: 15; [""cube1"", ""hand""]: 9"
align_cubes_group_no_obs_20260527_202959_events.csv,align_cubes_group_no_obs_20260527_202959,align_cubes,group_no_obs,1276,2026-05-27 20:30:10.572,2026-05-27 20:32:36.631,128,375,32,0,32,0,pinocchio_fk_validation_failed: 252; ik_error_above_limit: 196; ik_goal_collision_invalid: 176; ik_orientation_error_above_limit: 7; object_not_lifted_after_pick: 6; pick_failed_try_other_candidate: 4; move_grasp_failed: 4; object_not_lifted: 2,
align_cubes_group_no_obs_20260527_203344_events.csv,align_cubes_group_no_obs_20260527_203344,align_cubes,group_no_obs,893,2026-05-27 20:33:52.278,2026-05-27 20:35:23.600,133,132,30,0,28,2,pinocchio_fk_validation_failed: 147; ik_error_above_limit: 111; ik_goal_collision_invalid: 18; robot-env contact: table/1 <-> left_finger/80: 16; ik_orientation_error_above_limit: 3; object_not_lifted_after_pick: 3; pick_failed_try_other_candidate: 2; object_not_lifted: 1,"[""table"", ""left_finger""]: 16"
align_cubes_group_no_obs_20260527_203658_events.csv,align_cubes_group_no_obs_20260527_203658,align_cubes,group_no_obs,897,2026-05-27 20:37:03.768,2026-05-27 20:38:18.609,144,37,41,0,27,14,robot-env contact: table/1 <-> right_finger/88: 91; pinocchio_fk_validation_failed: 73; ik_error_above_limit: 36; ompl_or_execution_failed: 12; collision_at_waypoint_1: 7; robot-env contact: cube4/8 <-> hand/77: 7; collision_at_waypoint_0: 6; object_not_lifted_after_pick: 3,"[""table"", ""right_finger""]: 91; [""cube4"", ""hand""]: 7"
align_cubes_group_no_obs_20260527_203918_events.csv,align_cubes_group_no_obs_20260527_203918,align_cubes,group_no_obs,844,2026-05-27 20:39:24.556,2026-05-27 20:40:59.792,142,121,28,0,28,0,pinocchio_fk_validation_failed: 151; ik_error_above_limit: 120; ik_orientation_error_above_limit: 1,
align_cubes_group_no_obs_20260527_204324_events.csv,align_cubes_group_no_obs_20260527_204324,align_cubes,group_no_obs,844,2026-05-27 20:43:30.379,2026-05-27 20:45:57.024,142,121,28,0,28,0,pinocchio_fk_validation_failed: 151; ik_error_above_limit: 120; ik_orientation_error_above_limit: 1,
