event_id,timestamp,stage,status,arm,object_id,phase,label,planner,attempt,waypoints,duration_ms,grip,target_xyz,actual_xyz,ee_xyz,object_xyz,object_z,held_object,finger_pos,q,q_target,q_error_norm,pos_err,ori_err,iterations,distance_to_target,ignored_body_names,failure_reason,collision_pair,contact_count,penetration,obstacle_distance,extra_json,run_id,task,scene,run_ts,is_event,file,scenario_type,obstacle_mode,backend,candidate_id,seed_id,joint_limit_valid,state_valid,state_invalid_reason,ompl_result,execution_result,timestamp_dt
21,2026-05-26T23:12:54.339,TRAJECTORY_EXEC,START,left,,,,,,99.0,,0.04,,,"[0.2114, -0.0001, 1.0]",,,,0.04,"[-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511]","[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]",0.9724,,,,,[],,,,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:54.339
22,2026-05-26T23:12:54.371,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[0.2114, -0.0001, 1.0]",,,,0.04,"[-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511]","[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]",0.0,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:54.371
23,2026-05-26T23:12:55.340,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[0.1771, 0.0728, 1.0323]",,,,0.04,"[0.0931, 0.3691, 0.0436, -2.0946, 0.0075, 2.4423, -0.6655]","[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]",0.0231,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:55.340
24,2026-05-26T23:12:56.328,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[0.1291, 0.1423, 1.0694]",,,,0.04,"[0.1863, 0.2167, 0.0873, -2.2168, 0.015, 2.4177, -0.58]","[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]",0.0224,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:56.328
25,2026-05-26T23:12:57.232,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[0.0699, 0.1988, 1.0998]",,,,0.04,"[0.2794, 0.0643, 0.1309, -2.3389, 0.0226, 2.3932, -0.4945]","[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]",0.0216,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:57.232
26,2026-05-26T23:12:58.168,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[0.0036, 0.2401, 1.1224]",,,,0.04,"[0.3726, -0.0882, 0.1746, -2.461, 0.0302, 2.3687, -0.409]","[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]",0.0207,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:58.168
27,2026-05-26T23:12:58.257,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[-0.0021, 0.2428, 1.1239]",,,,0.04,"[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]","[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]",0.0207,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:58.257
28,2026-05-26T23:12:58.430,TRAJECTORY_EXEC,OK,left,,,,,,99.0,4059.0,,,,"[-0.0073, 0.2454, 1.1255]",,,,0.04,"[0.3802, -0.0957, 0.1786, -2.4757, 0.0307, 2.3659, -0.4022]","[0.3804, -0.1009, 0.1783, -2.4712, 0.0308, 2.3666, -0.4018]",0.0069,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:58.430
35,2026-05-26T23:12:58.891,TRAJECTORY_EXEC,START,left,,,,,,69.0,,0.04,,,"[-0.0073, 0.2454, 1.1255]",,,,0.04,"[0.3802, -0.0957, 0.1786, -2.4757, 0.0307, 2.3659, -0.4022]","[0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762]",0.6794,,,,,"[""circle1""]",,,,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:58.891
36,2026-05-26T23:12:58.919,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[-0.0073, 0.2454, 1.1255]",,,,0.04,"[0.3802, -0.0957, 0.1786, -2.4757, 0.0307, 2.3659, -0.4022]","[0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762]",0.0,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:58.919
37,2026-05-26T23:12:59.603,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[-0.0034, 0.2463, 1.0819]",,,,0.04,"[0.4033, 0.0147, 0.1522, -2.4866, 0.0087, 2.4875, -0.3957]","[0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762]",0.0161,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:12:59.603
38,2026-05-26T23:13:00.244,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[-0.0022, 0.2466, 1.037]",,,,0.04,"[0.4265, 0.1251, 0.1258, -2.4976, -0.0133, 2.6091, -0.3892]","[0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762]",0.0158,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:00.244
39,2026-05-26T23:13:00.902,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[-0.006, 0.2448, 0.9925]",,,,0.04,"[0.4496, 0.2355, 0.0994, -2.5085, -0.0353, 2.7307, -0.3827]","[0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762]",0.0156,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:00.902
40,2026-05-26T23:13:01.546,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.04,,,"[-0.0145, 0.2405, 0.9489]",,,,0.04,"[0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762]","[0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762]",0.0154,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:01.546
41,2026-05-26T23:13:01.704,TRAJECTORY_EXEC,OK,left,,,,,,69.0,2785.0,,,,"[-0.0159, 0.2398, 0.944]",,,,0.04,"[0.4725, 0.3518, 0.0728, -2.5229, -0.0573, 2.851, -0.3762]","[0.4727, 0.3459, 0.0729, -2.5194, -0.0573, 2.8523, -0.3762]",0.0069,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:01.704
50,2026-05-26T23:13:02.941,TRAJECTORY_EXEC,START,left,,,,,,70.0,,0.014,,,"[-0.0158, 0.2399, 0.944]","[-0.0185, 0.2406, 0.8381]",,circle1,0.0235,"[0.4727, 0.3521, 0.0727, -2.5226, -0.0574, 2.8515, -0.3762]","[0.4941, -0.1217, 0.0665, -2.4914, 0.0151, 2.3715, -0.4373]",0.6822,,,,,"[""circle1""]",,,,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}",align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:02.941
51,2026-05-26T23:13:02.978,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.014,,,"[-0.0158, 0.2399, 0.944]","[-0.0185, 0.2406, 0.8381]",,circle1,0.0235,"[0.4727, 0.3521, 0.0727, -2.5226, -0.0574, 2.8515, -0.3762]","[0.4941, -0.1217, 0.0665, -2.4914, 0.0151, 2.3715, -0.4373]",0.0,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:02.978
52,2026-05-26T23:13:03.744,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.014,,,"[-0.0098, 0.2423, 0.9801]","[-0.0128, 0.2423, 0.8731]",,circle1,0.0236,"[0.478, 0.2353, 0.0711, -2.5149, -0.0395, 2.7333, -0.3912]","[0.4941, -0.1217, 0.0665, -2.4914, 0.0151, 2.3715, -0.4373]",0.0229,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:03.744
53,2026-05-26T23:13:04.491,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.014,,,"[-0.0051, 0.2449, 1.0263]","[-0.0074, 0.2449, 0.9181]",,circle1,0.0238,"[0.4833, 0.1186, 0.0696, -2.5072, -0.0217, 2.615, -0.4063]","[0.4941, -0.1217, 0.0665, -2.4914, 0.0151, 2.3715, -0.4373]",0.0227,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:04.491
54,2026-05-26T23:13:05.253,TRAJECTORY_WAYPOINT,EXEC,left,,,,,,,,0.014,,,"[-0.0057, 0.2452, 1.0731]","[-0.0075, 0.2457, 0.9636]",,circle1,0.0238,"[0.4885, 0.0019, 0.0681, -2.4995, -0.0038, 2.4967, -0.4213]","[0.4941, -0.1217, 0.0665, -2.4914, 0.0151, 2.3715, -0.4373]",0.0225,,,,,,,,,,,,align_tabung_group_no_obs_20260526_231242,align_tabung,group_no_obs,2026-05-26 23:12:42,True,align_tabung_group_no_obs_20260526_231242_events.csv,,,,,,,,,,,2026-05-26 23:13:05.253
