event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
1,2026-05-14T06:00:10.205,SIM_LOAD,OK,,,,,,,,,,,,,"{""model_file"": ""/mnt/c/Adpro/MVP-CTAMP-ROBOT/models/panda_ungroup_obs.xml"", ""bodies"": 24, ""geoms"": 96}"
2,2026-05-14T06:00:14.208,VIEWER_INIT,OK,,,,,,,,,,,,,"{""enabled"": true}"
3,2026-05-14T06:00:14.215,WARMUP,START,,home,,,,,,,,,,,
4,2026-05-14T06:00:14.700,WARMUP,OK,,home,,,,,,,,,,,
5,2026-05-14T06:00:14.700,WARMUP,START,,grasp_ready,,,,,,,,,,,
6,2026-05-14T06:00:15.395,WARMUP,OK,,grasp_ready,,,,,,,,,,,
7,2026-05-14T06:00:15.396,OBSTACLE_MONITOR,INIT,obstacle1,,,,,,,"[0.08, -0.32, 0.8844]",,,,,
8,2026-05-14T06:00:15.396,OBSTACLE_MONITOR,INIT,obstacle2,,,,,,,"[0.36, 0.2, 0.8844]",,,,,
9,2026-05-14T06:00:15.414,PICK,START,cube4,,,,,,,,,,,,
10,2026-05-14T06:00:15.577,OBSTACLE_AVOID,ACTIVE,cube4,,,,,,,,,,,0.1000,"{""approach_clearance"": 0.34}"
11,2026-05-14T06:00:15.577,MOVE_POSE,START,,pick(cube4) pregrasp,,,,,0.0400,"[0.36, 0.3, 1.1694]",[],,,,
12,2026-05-14T06:00:15.789,IK_SOLVE,WARN,,pick(cube4) pregrasp,,,,,,"[0.36, 0.3, 1.1694]",,,,,"{""pos_err"": 0.07995, ""ori_err"": 0.00136, ""iterations"": 600}"
13,2026-05-14T06:00:15.949,IK_ELBOW_UP,FAILED,,pick(cube4) pregrasp,,,,,,,,,,,"{""pos_err"": 0.18768, ""ori_err"": 0.16909, ""iterations"": 600}"
14,2026-05-14T06:00:15.958,OMPL_PLAN,START,,pick(cube4) pregrasp,,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 3.0, ""start_q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511], ""goal_q"": [0.3251, 0.715, 0.0741, -1.2525, -0.0512, 1.9658, -0.5262]}"
15,2026-05-14T06:00:16.417,OMPL_PLAN,OK,,pick(cube4) pregrasp,,BITstar,67,459,,,,,,,"{""path_length"": 0.9855, ""selected_goal_q"": [0.32514557502824337, 0.7149580013285942, 0.0741209664866417, -1.2525227211260734, -0.05119600364816209, 1.965778382598515, -0.5261707850870744]}"
16,2026-05-14T06:00:16.418,TRAJECTORY_EXEC,START,,,,,67,,0.0400,,[],,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
17,2026-05-14T06:00:16.418,TRAJECTORY_WAYPOINT,EXEC,,,,,1/67,,0.0400,,,,,,"{""q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511]}"
18,2026-05-14T06:00:16.746,TRAJECTORY_WAYPOINT,EXEC,,,,,17/67,,0.0400,,,,,,"{""q"": [0.0788, 0.5685, 0.0179, -1.798, -0.0125, 2.3453, -0.6965]}"
19,2026-05-14T06:00:17.075,TRAJECTORY_WAYPOINT,EXEC,,,,,33/67,,0.0400,,,,,,"{""q"": [0.1576, 0.6153, 0.0359, -1.6234, -0.0249, 2.2239, -0.642]}"
20,2026-05-14T06:00:17.411,TRAJECTORY_WAYPOINT,EXEC,,,,,49/67,,0.0400,,,,,,"{""q"": [0.2365, 0.6622, 0.0539, -1.4489, -0.0373, 2.1024, -0.5875]}"
21,2026-05-14T06:00:17.720,TRAJECTORY_WAYPOINT,EXEC,,,,,65/67,,0.0400,,,,,,"{""q"": [0.3153, 0.7091, 0.0719, -1.2743, -0.0496, 1.981, -0.533]}"
22,2026-05-14T06:00:17.766,TRAJECTORY_WAYPOINT,EXEC,,,,,67/67,,0.0400,,,,,,"{""q"": [0.3251, 0.715, 0.0741, -1.2525, -0.0512, 1.9658, -0.5262]}"
23,2026-05-14T06:00:17.824,TRAJECTORY_EXEC,OK,,,,,67,1405,,,,,,,
24,2026-05-14T06:00:17.824,MOVE_POSE,OK,,pick(cube4) pregrasp,,,,,,,,,,,
25,2026-05-14T06:00:17.824,MOVE_POSE,START,,pick(cube4) grasp,,,,,0.0400,"[0.36, 0.3, 0.9294]","[""cube4""]",,,,
26,2026-05-14T06:00:18.071,IK_SOLVE,WARN,,pick(cube4) grasp,,,,,,"[0.36, 0.3, 0.9294]",,,,,"{""pos_err"": 0.04377, ""ori_err"": 0.01968, ""iterations"": 600}"
27,2026-05-14T06:00:18.244,IK_ELBOW_UP,FAILED,,pick(cube4) grasp,,,,,,,,,,,"{""pos_err"": 0.17499, ""ori_err"": 0.16133, ""iterations"": 600}"
28,2026-05-14T06:00:18.245,OMPL_PLAN,START,,pick(cube4) grasp,,RRTConnect,,,0.0400,,"[""cube4""]",,,,"{""time_limit"": 3.0, ""start_q"": [0.3221, 0.7216, 0.074, -1.2661, -0.0509, 1.9698, -0.5293], ""goal_q"": [0.3603, 1.1323, 0.0248, -1.044, -0.0266, 2.1956, -0.5547]}"
29,2026-05-14T06:00:18.250,OMPL_PLAN,FAILED,,pick(cube4) grasp,,BITstar,,5,,,,no_solution_path,,,"{""goal_attempts"": [{""idx"": 0, ""goal_q"": [0.36032484454933006, 1.1322689428591572, 0.02475421466546303, -1.0439504192818252, -0.026556349559090565, 2.195590998207652, -0.5547171376432656], ""status"": ""invalid_goal"", ""reason"": ""robot-env contact: obstacle2/14 <-> link7/73""}, {""idx"": 1, ""goal_q"": [0.37532484454933007, 1.1422689428591573, 0.02475421466546303, -1.0439504192818252, -0.026556349559090565, 2.2055909982076516, -0.5547171376432656], ""status"": ""invalid_goal"", ""reason"": ""robot-env contact: obstacle2/14 <-> link7/73""}, {""idx"": 2, ""goal_q"": [0.34532484454933005, 1.1222689428591572, 0.02475421466546303, -1.0439504192818252, -0.026556349559090565, 2.185590998207652, -0.5547171376432656], ""status"": ""invalid_goal"", ""reason"": ""robot-env contact: obstacle2/14 <-> link7/73""}, {""idx"": 3, ""goal_q"": [0.36032484454933006, 1.1522689428591573, 0.02475421466546303, -1.0439504192818252, -0.026556349559090565, 2.175590998207652, -0.5547171376432656], ""status"": ""invalid_goal"", ""reason"": ""robot-env contact: obstacle2/14 <-> link7/73""}, {""idx"": 4, ""goal_q"": [0.36032484454933006, 1.1122689428591572, 0.02475421466546303, -1.0439504192818252, -0.026556349559090565, 2.215590998207652, -0.5547171376432656], ""status"": ""invalid_goal"", ""reason"": ""robot-env contact: obstacle2/14 <-> link7/73""}, {""idx"": 5, ""goal_q"": [0.36032484454933006, 1.1322689428591572, 0.02475421466546303, -1.0439504192818252, -0.026556349559090565, 2.215590998207652, -0.5547171376432656], ""status"": ""invalid_goal"", ""reason"": ""robot-env contact: obstacle2/14 <-> link7/73""}, {""idx"": 6, ""goal_q"": [0.36032484454933006, 1.1322689428591572, 0.02475421466546303, -1.0439504192818252, -0.026556349559090565, 2.175590998207652, -0.5547171376432656], ""status"": ""invalid_goal"", ""reason"": ""robot-env contact: obstacle2/14 <-> link7/73""}]}"
30,2026-05-14T06:00:18.251,MOVE_POSE,FAILED,,pick(cube4) grasp,,,,,,,,ompl_failed_no_fallback,,,
31,2026-05-14T06:00:18.251,PICK,FAILED,cube4,grasp,,,,,,,,move_grasp_failed,,,
32,2026-05-14T06:00:18.251,DROP,START,,,,,,,,,,,,,
33,2026-05-14T06:00:18.252,GRIPPER,SET,,,,,,,0.0400,,,,,,"{""steps"": 300}"
