event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
1,2026-05-14T08:16:37.352,SIM_LOAD,OK,,,,,,,,,,,,,"{""model_file"": ""/mnt/c/Adpro/MVP-CTAMP-ROBOT/models/panda_two_arm_ungroup_obs.xml"", ""bodies"": 35, ""geoms"": 177}"
2,2026-05-14T08:16:40.962,VIEWER_INIT,OK,,,,,,,,,,,,,"{""enabled"": true}"
3,2026-05-14T08:16:40.970,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""left"", ""base_xy"": [-0.4, -0.45]}"
4,2026-05-14T08:16:40.974,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""right"", ""base_xy"": [-0.4, 0.45]}"
5,2026-05-14T08:16:40.974,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""left"", ""base_xy"": [-0.4, -0.45]}"
6,2026-05-14T08:16:40.974,WARMUP,START,,home,,,,,,,,,,,
7,2026-05-14T08:16:41.434,WARMUP,OK,,home,,,,,,,,,,,
8,2026-05-14T08:16:41.434,WARMUP,START,,grasp_ready,,,,,,,,,,,
9,2026-05-14T08:16:42.056,WARMUP,OK,,grasp_ready,,,,,,,,,,,
10,2026-05-14T08:16:42.056,OBSTACLE_MONITOR,INIT,obstacle1,,,,,,,"[0.08, -0.3, 0.8844]",,,,,
11,2026-05-14T08:16:42.056,OBSTACLE_MONITOR,INIT,obstacle2,,,,,,,"[0.3218, 0.1748, 0.8844]",,,,,
12,2026-05-14T08:16:42.068,OBJECT_PRECHECK,SKIP,circle1,separate_groups_two_arm,,,,,,,,object_near_obstacle_safety_skip,,,
13,2026-05-14T08:16:42.068,OBJECT_PRECHECK,SKIP,cube4,separate_groups_two_arm,,,,,,,,object_too_close_to_obstacle,,,
14,2026-05-14T08:16:42.068,OBJECT_PRECHECK,SKIP,circle4,separate_groups_two_arm,,,,,,,,object_near_obstacle_safety_skip,,,
15,2026-05-14T08:16:42.068,TASK_ROUND,START,,separate_groups_two_arm,,,,,,,,,,,"{""round"": 1, ""candidates"": [""cube1"", ""cube3"", ""cube2"", ""circle3"", ""circle2""]}"
16,2026-05-14T08:16:42.069,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""left"", ""base_xy"": [-0.4, -0.45]}"
17,2026-05-14T08:16:42.069,ARM_VALIDATION,OK,cube1,,,,,,,,,,,,"{""selected_arm"": ""left"", ""validations"": [{""arm"": ""left"", ""ok"": true, ""pick_distance"": 0.3801, ""place_distance"": 0.6048, ""pick_status"": ""OK"", ""place_status"": ""OK"", ""obstacle_status"": ""CLEAR"", ""blocked"": false}, {""arm"": ""right"", ""ok"": false, ""pick_distance"": 0.9862, ""place_distance"": 0.7686, ""pick_status"": ""HARD"", ""place_status"": ""OK"", ""obstacle_status"": ""CLEAR"", ""blocked"": false}], ""attempt"": 1}"
