event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
1,2026-05-14T08:24:13.166,SIM_LOAD,OK,,,,,,,,,,,,,"{""model_file"": ""/mnt/c/Adpro/MVP-CTAMP-ROBOT/models/panda_ungroup_no_obs.xml"", ""bodies"": 22, ""geoms"": 94}"
2,2026-05-14T08:24:15.986,VIEWER_INIT,OK,,,,,,,,,,,,,"{""enabled"": true}"
3,2026-05-14T08:24:16.013,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""left"", ""base_xy"": [-0.4, 0.0]}"
4,2026-05-14T08:24:16.014,ARM_SELECT,OK,,,,,,,,,,,,,"{""arm"": ""left"", ""base_xy"": [-0.4, 0.0]}"
5,2026-05-14T08:24:16.014,WARMUP,START,,home,,,,,,,,,,,
6,2026-05-14T08:24:16.477,WARMUP,OK,,home,,,,,,,,,,,
7,2026-05-14T08:24:16.477,WARMUP,START,,grasp_ready,,,,,,,,,,,
8,2026-05-14T08:24:17.206,WARMUP,OK,,grasp_ready,,,,,,,,,,,
9,2026-05-14T08:24:17.226,TASK_ROUND,START,,separate_groups,,,,,,,,,,,"{""round"": 1, ""candidates"": [""cube3"", ""cube1"", ""cube4"", ""cube2"", ""circle3"", ""circle1"", ""circle2"", ""circle4""]}"
10,2026-05-14T08:24:17.226,PICK,START,cube3,,,,,,,,,,,,
11,2026-05-14T08:24:17.227,PICK_PROFILE,SELECT,cube3,,,,,,0.0150,,,,,,"{""profile_index"": 0, ""grasp_offset"": 0.1, ""clearance_bonus"": 0.0}"
12,2026-05-14T08:24:17.401,OBSTACLE_AVOID,CLEAR,cube3,,,,,,,,,,,,"{""approach_clearance"": 0.3}"
13,2026-05-14T08:24:17.401,MOVE_POSE,START,,pick(cube3) pregrasp,,,,,0.0400,"[0.0, 0.24, 1.1294]",[],,,,
14,2026-05-14T08:24:17.528,IK_CANDIDATE,OK,,pick(cube3) pregrasp,,,,,,"[0.0, 0.24, 1.1294]",,,,,"{""pos_err"": 0.01369, ""ori_err"": 0.00471, ""candidate_idx"": 0, ""ref_idx"": 0, ""pos_limit"": 0.055}"
15,2026-05-14T08:24:17.531,IK_SOLVE,OK,,pick(cube3) pregrasp,,,,,,"[0.0, 0.24, 1.1294]",,,,,"{""pos_err"": 0.01369, ""ori_err"": 0.00471, ""iterations"": 600}"
16,2026-05-14T08:24:17.531,OMPL_PLAN,START,,pick(cube3) pregrasp,,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 5.0, ""start_q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511], ""goal_q"": [0.3694, -0.05, 0.1666, -2.4316, 0.0172, 2.3792, -0.4108]}"
17,2026-05-14T08:24:18.285,OMPL_PLAN,OK,,pick(cube3) pregrasp,,BITstar,77,752,,,,,,,"{""path_length"": 0.9085, ""selected_goal_q"": [0.36936192337289914, -0.04995089822073799, 0.16664001214629404, -2.4315764885970403, 0.01718031391620734, 2.379229250495682, -0.4108150143824353]}"
18,2026-05-14T08:24:18.285,TRAJECTORY_EXEC,START,,,,,77,,0.0400,,[],,,,"{""settle_steps_per_wp"": 14, ""final_settle_steps"": 40}"
19,2026-05-14T08:24:18.285,TRAJECTORY_WAYPOINT,EXEC,,,,,1/77,,0.0400,,,,,,"{""q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511]}"
20,2026-05-14T08:24:18.908,TRAJECTORY_WAYPOINT,EXEC,,,,,20/77,,0.0400,,,,,,"{""q"": [0.0923, 0.3787, 0.0416, -2.0873, 0.0042, 2.4449, -0.666]}"
21,2026-05-14T08:24:19.524,TRAJECTORY_WAYPOINT,EXEC,,,,,39/77,,0.0400,,,,,,"{""q"": [0.1847, 0.2358, 0.0833, -2.202, 0.0085, 2.423, -0.5809]}"
22,2026-05-14T08:24:20.142,TRAJECTORY_WAYPOINT,EXEC,,,,,58/77,,0.0400,,,,,,"{""q"": [0.277, 0.0929, 0.125, -2.3168, 0.0129, 2.4011, -0.4959]}"
23,2026-05-14T08:24:20.743,TRAJECTORY_WAYPOINT,EXEC,,,,,77/77,,0.0400,,,,,,"{""q"": [0.3694, -0.05, 0.1666, -2.4316, 0.0172, 2.3792, -0.4108]}"
24,2026-05-14T08:24:20.884,TRAJECTORY_EXEC,OK,,,,,77,2598,,,,,,,
