event_id,timestamp,stage,status,object_id,phase,label,planner,waypoints,duration_ms,grip,target_xyz,ignored_body_names,failure_reason,collision_pair,obstacle_distance,extra_json
1,2026-05-14T06:11:19.311,SIM_LOAD,OK,,,,,,,,,,,,,"{""model_file"": ""/mnt/c/Adpro/MVP-CTAMP-ROBOT/models/panda_ungroup_obs.xml"", ""bodies"": 24, ""geoms"": 96}"
2,2026-05-14T06:11:24.834,VIEWER_INIT,OK,,,,,,,,,,,,,"{""enabled"": true}"
3,2026-05-14T06:11:24.843,WARMUP,START,,home,,,,,,,,,,,
4,2026-05-14T06:11:25.308,WARMUP,OK,,home,,,,,,,,,,,
5,2026-05-14T06:11:25.308,WARMUP,START,,grasp_ready,,,,,,,,,,,
6,2026-05-14T06:11:26.061,WARMUP,OK,,grasp_ready,,,,,,,,,,,
7,2026-05-14T06:11:26.062,OBSTACLE_MONITOR,INIT,obstacle1,,,,,,,"[0.08, -0.32, 0.8844]",,,,,
8,2026-05-14T06:11:26.062,OBSTACLE_MONITOR,INIT,obstacle2,,,,,,,"[0.36, 0.2, 0.8844]",,,,,
9,2026-05-14T06:11:26.083,PICK,START,cube3,,,,,,,,,,,,
10,2026-05-14T06:11:26.083,PICK_PROFILE,SELECT,cube3,,,,,,0.0150,,,,,,"{""profile_index"": 0, ""grasp_offset"": 0.1, ""clearance_bonus"": 0.0}"
11,2026-05-14T06:11:26.266,OBSTACLE_AVOID,CLEAR,cube3,,,,,,,,,,,0.3622,"{""approach_clearance"": 0.3}"
12,2026-05-14T06:11:26.266,MOVE_POSE,START,,pick(cube3) pregrasp,,,,,0.0400,"[-0.0, 0.24, 1.1294]",[],,,,
13,2026-05-14T06:11:26.458,IK_SOLVE,WARN,,pick(cube3) pregrasp,,,,,,"[-0.0, 0.24, 1.1294]",,,,,"{""pos_err"": 0.01369, ""ori_err"": 0.00471, ""iterations"": 600}"
14,2026-05-14T06:11:26.556,IK_ELBOW_UP,OK,,pick(cube3) pregrasp,,,,,,,,,,,"{""pos_err"": 0.00799, ""ori_err"": 0.00399, ""iterations"": 377}"
15,2026-05-14T06:11:26.566,OMPL_PLAN,START,,pick(cube3) pregrasp,,RRTConnect,,,0.0400,,[],,,,"{""time_limit"": 3.0, ""start_q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511], ""goal_q"": [0.5404, -0.0696, -0.0, -2.4606, -0.0, 2.395, -0.75]}"
16,2026-05-14T06:11:27.066,OMPL_PLAN,OK,,pick(cube3) pregrasp,,BITstar,64,498,,,,,,,"{""path_length"": 0.9407, ""selected_goal_q"": [0.5404195002705842, -0.06960441206965795, -5.921120458386383e-17, -2.4606424579841657, -3.7980260615660065e-17, 2.3950232523644543, -0.75]}"
17,2026-05-14T06:11:27.066,TRAJECTORY_EXEC,START,,,,,64,,0.0400,,[],,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
18,2026-05-14T06:11:27.066,TRAJECTORY_WAYPOINT,EXEC,,,,,1/64,,0.0400,,,,,,"{""q"": [-0.0, 0.5216, -0.0001, -1.9725, -0.0001, 2.4668, -0.7511]}"
19,2026-05-14T06:11:27.387,TRAJECTORY_WAYPOINT,EXEC,,,,,17/64,,0.0400,,,,,,"{""q"": [0.1372, 0.3714, -0.0001, -2.0965, -0.0001, 2.4486, -0.7508]}"
20,2026-05-14T06:11:27.691,TRAJECTORY_WAYPOINT,EXEC,,,,,33/64,,0.0400,,,,,,"{""q"": [0.2745, 0.2213, -0.0001, -2.2205, -0.0001, 2.4303, -0.7505]}"
21,2026-05-14T06:11:28.022,TRAJECTORY_WAYPOINT,EXEC,,,,,49/64,,0.0400,,,,,,"{""q"": [0.4117, 0.0712, -0.0, -2.3444, -0.0, 2.4121, -0.7503]}"
22,2026-05-14T06:11:28.309,TRAJECTORY_WAYPOINT,EXEC,,,,,64/64,,0.0400,,,,,,"{""q"": [0.5404, -0.0696, -0.0, -2.4606, -0.0, 2.395, -0.75]}"
23,2026-05-14T06:11:28.371,TRAJECTORY_EXEC,OK,,,,,64,1305,,,,,,,
24,2026-05-14T06:11:28.371,MOVE_POSE,OK,,pick(cube3) pregrasp,,,,,,,,,,,
25,2026-05-14T06:11:28.371,MOVE_POSE,START,,pick(cube3) grasp,,,,,0.0400,"[-0.0, 0.24, 0.9294]","[""cube3""]",,,,
26,2026-05-14T06:11:28.520,IK_SOLVE,OK,,pick(cube3) grasp,,,,,,"[-0.0, 0.24, 0.9294]",,,,,"{""pos_err"": 0.00798, ""ori_err"": 0.01198, ""iterations"": 524}"
27,2026-05-14T06:11:28.521,OMPL_PLAN,START,,pick(cube3) grasp,,RRTConnect,,,0.0400,,"[""cube3""]",,,,"{""time_limit"": 3.0, ""start_q"": [0.5338, -0.057, 0.0015, -2.4596, -0.0003, 2.3949, -0.75], ""goal_q"": [0.5385, 0.4058, 0.0016, -2.4598, -0.0015, 2.8536, -0.7453]}"
28,2026-05-14T06:11:28.983,OMPL_PLAN,OK,,pick(cube3) grasp,,BITstar,45,462,,,,,,,"{""path_length"": 0.6517, ""selected_goal_q"": [0.5384620523246137, 0.40583184122848764, 0.00155377915154419, -2.4597567006272354, -0.0015122665881319363, 2.853608472554435, -0.7453331736225678]}"
29,2026-05-14T06:11:28.983,TRAJECTORY_EXEC,START,,,,,45,,0.0400,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
30,2026-05-14T06:11:28.983,TRAJECTORY_WAYPOINT,EXEC,,,,,1/45,,0.0400,,,,,,"{""q"": [0.5338, -0.057, 0.0015, -2.4596, -0.0003, 2.3949, -0.75]}"
31,2026-05-14T06:11:29.243,TRAJECTORY_WAYPOINT,EXEC,,,,,12/45,,0.0400,,,,,,"{""q"": [0.5349, 0.0587, 0.0015, -2.4596, -0.0006, 2.5096, -0.7489]}"
32,2026-05-14T06:11:29.463,TRAJECTORY_WAYPOINT,EXEC,,,,,23/45,,0.0400,,,,,,"{""q"": [0.5361, 0.1744, 0.0015, -2.4597, -0.0009, 2.6243, -0.7477]}"
33,2026-05-14T06:11:29.703,TRAJECTORY_WAYPOINT,EXEC,,,,,34/45,,0.0400,,,,,,"{""q"": [0.5373, 0.2901, 0.0015, -2.4597, -0.0012, 2.7389, -0.7465]}"
34,2026-05-14T06:11:29.941,TRAJECTORY_WAYPOINT,EXEC,,,,,45/45,,0.0400,,,,,,"{""q"": [0.5385, 0.4058, 0.0016, -2.4598, -0.0015, 2.8536, -0.7453]}"
35,2026-05-14T06:11:30.009,TRAJECTORY_EXEC,OK,,,,,45,1025,,,,,,,
36,2026-05-14T06:11:30.009,MOVE_POSE,OK,,pick(cube3) grasp,,,,,,,,,,,
37,2026-05-14T06:11:30.009,PICK,GRIP_CLOSE,cube3,close_gripper,,,,,,,,,,,
38,2026-05-14T06:11:30.009,GRIPPER,SET,,,,,,,0.0150,,,,,,"{""steps"": 260}"
39,2026-05-14T06:11:30.715,MOVE_POSE,START,,pick(cube3) lift,,,,,0.0150,"[-0.0, 0.24, 1.1294]","[""cube3""]",,,,
40,2026-05-14T06:11:30.890,IK_SOLVE,WARN,,pick(cube3) lift,,,,,,"[-0.0, 0.24, 1.1294]",,,,,"{""pos_err"": 0.0101, ""ori_err"": 0.00136, ""iterations"": 600}"
41,2026-05-14T06:11:30.991,IK_ELBOW_UP,OK,,pick(cube3) lift,,,,,,,,,,,"{""pos_err"": 0.00799, ""ori_err"": 0.00399, ""iterations"": 377}"
42,2026-05-14T06:11:30.992,OMPL_PLAN,START,,pick(cube3) lift,,RRTConnect,,,0.0150,,"[""cube3""]",,,,"{""time_limit"": 3.0, ""start_q"": [0.5385, 0.4124, 0.0015, -2.4631, -0.0016, 2.8528, -0.7453], ""goal_q"": [0.5404, -0.0696, -0.0, -2.4606, -0.0, 2.395, -0.75]}"
43,2026-05-14T06:11:31.457,OMPL_PLAN,OK,,pick(cube3) lift,,BITstar,46,891,,,,,,,"{""path_length"": 0.6648, ""selected_goal_q"": [0.5404195002705842, -0.06960441206965791, -5.95278894983922e-17, -2.4606424579841657, -3.308412523867832e-17, 2.3950232523644543, -0.75]}"
44,2026-05-14T06:11:31.457,TRAJECTORY_EXEC,START,,,,,46,,0.0150,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
45,2026-05-14T06:11:31.457,TRAJECTORY_WAYPOINT,EXEC,,,,,1/46,,0.0150,,,,,,"{""q"": [0.5385, 0.4124, 0.0015, -2.4631, -0.0016, 2.8528, -0.7453]}"
46,2026-05-14T06:11:31.674,TRAJECTORY_WAYPOINT,EXEC,,,,,12/46,,0.0150,,,,,,"{""q"": [0.5389, 0.2946, 0.0011, -2.4625, -0.0012, 2.7409, -0.7465]}"
47,2026-05-14T06:11:31.899,TRAJECTORY_WAYPOINT,EXEC,,,,,23/46,,0.0150,,,,,,"{""q"": [0.5394, 0.1768, 0.0007, -2.4619, -0.0008, 2.629, -0.7476]}"
48,2026-05-14T06:11:32.141,TRAJECTORY_WAYPOINT,EXEC,,,,,34/46,,0.0150,,,,,,"{""q"": [0.5399, 0.0589, 0.0004, -2.4613, -0.0004, 2.5171, -0.7488]}"
49,2026-05-14T06:11:32.363,TRAJECTORY_WAYPOINT,EXEC,,,,,45/46,,0.0150,,,,,,"{""q"": [0.5404, -0.0589, 0.0, -2.4607, -0.0, 2.4052, -0.7499]}"
50,2026-05-14T06:11:32.387,TRAJECTORY_WAYPOINT,EXEC,,,,,46/46,,0.0150,,,,,,"{""q"": [0.5404, -0.0696, -0.0, -2.4606, -0.0, 2.395, -0.75]}"
51,2026-05-14T06:11:32.460,TRAJECTORY_EXEC,OK,,,,,46,1002,,,,,,,
52,2026-05-14T06:11:32.460,MOVE_POSE,OK,,pick(cube3) lift,,,,,,,,,,,
53,2026-05-14T06:11:32.460,PICK,OK,cube3,,,,,,,,,,,,
54,2026-05-14T06:11:32.461,PLACE,START,cube3,,,,,,,"[0.055, -0.125, 0.83]",,,,,
55,2026-05-14T06:11:32.461,MOVE_POSE,START,,"place(0.055, -0.125) preplace",,,,,0.0150,"[0.055, -0.125, 1.13]","[""cube3""]",,,,
56,2026-05-14T06:11:32.598,IK_SOLVE,OK,,"place(0.055, -0.125) preplace",,,,,,"[0.055, -0.125, 1.13]",,,,,"{""pos_err"": 0.00795, ""ori_err"": 0.01613, ""iterations"": 505}"
57,2026-05-14T06:11:32.598,OMPL_PLAN,START,,"place(0.055, -0.125) preplace",,RRTConnect,,,0.0150,,"[""cube3""]",,,,"{""time_limit"": 3.0, ""start_q"": [0.5404, -0.0565, 0.0001, -2.4647, -0.0001, 2.4006, -0.7499], ""goal_q"": [0.0987, -0.09, -0.3506, -2.4588, -0.067, 2.3778, -1.2267]}"
58,2026-05-14T06:11:33.033,OMPL_PLAN,OK,,"place(0.055, -0.125) preplace",,BITstar,51,435,,,,,,,"{""path_length"": 0.7427, ""selected_goal_q"": [0.09868782377814464, -0.09002202219448915, -0.3506300094060436, -2.4587580366574433, -0.06697956237068, 2.3777978675887668, -1.2267097653922958]}"
59,2026-05-14T06:11:33.034,TRAJECTORY_EXEC,START,,,,,51,,0.0150,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
60,2026-05-14T06:11:33.034,TRAJECTORY_WAYPOINT,EXEC,,,,,1/51,,0.0150,,,,,,"{""q"": [0.5404, -0.0565, 0.0001, -2.4647, -0.0001, 2.4006, -0.7499]}"
61,2026-05-14T06:11:33.275,TRAJECTORY_WAYPOINT,EXEC,,,,,13/51,,0.0150,,,,,,"{""q"": [0.4344, -0.0645, -0.0841, -2.4632, -0.0162, 2.3951, -0.8643]}"
62,2026-05-14T06:11:33.530,TRAJECTORY_WAYPOINT,EXEC,,,,,25/51,,0.0150,,,,,,"{""q"": [0.3284, -0.0726, -0.1683, -2.4618, -0.0322, 2.3896, -0.9788]}"
63,2026-05-14T06:11:33.795,TRAJECTORY_WAYPOINT,EXEC,,,,,37/51,,0.0150,,,,,,"{""q"": [0.2224, -0.0806, -0.2524, -2.4604, -0.0483, 2.3842, -1.0932]}"
64,2026-05-14T06:11:34.058,TRAJECTORY_WAYPOINT,EXEC,,,,,49/51,,0.0150,,,,,,"{""q"": [0.1164, -0.0887, -0.3366, -2.459, -0.0643, 2.3787, -1.2076]}"
65,2026-05-14T06:11:34.111,TRAJECTORY_WAYPOINT,EXEC,,,,,51/51,,0.0150,,,,,,"{""q"": [0.0987, -0.09, -0.3506, -2.4588, -0.067, 2.3778, -1.2267]}"
66,2026-05-14T06:11:34.177,TRAJECTORY_EXEC,OK,,,,,51,1143,,,,,,,
67,2026-05-14T06:11:34.177,MOVE_POSE,OK,,"place(0.055, -0.125) preplace",,,,,,,,,,,
68,2026-05-14T06:11:34.177,MOVE_POSE,START,,"place(0.055, -0.125) release",,,,,0.0150,"[0.055, -0.125, 0.99]","[""cube3""]",,,,
69,2026-05-14T06:11:34.313,IK_SOLVE,OK,,"place(0.055, -0.125) release",,,,,,"[0.055, -0.125, 0.99]",,,,,"{""pos_err"": 0.00798, ""ori_err"": 0.01728, ""iterations"": 449}"
70,2026-05-14T06:11:34.313,OMPL_PLAN,START,,"place(0.055, -0.125) release",,RRTConnect,,,0.0150,,"[""cube3""]",,,,"{""time_limit"": 3.0, ""start_q"": [0.1048, -0.0849, -0.3478, -2.4637, -0.0662, 2.3773, -1.218], ""goal_q"": [-0.0319, 0.2462, -0.2134, -2.4774, 0.0891, 2.7068, -1.294]}"
71,2026-05-14T06:11:34.755,OMPL_PLAN,OK,,"place(0.055, -0.125) release",,BITstar,37,441,,,,,,,"{""path_length"": 0.5339, ""selected_goal_q"": [-0.0319469162880208, 0.2462035770979236, -0.2133632778747145, -2.477425818542266, 0.08912429004889193, 2.7067775685836923, -1.2940119695706438]}"
72,2026-05-14T06:11:34.755,TRAJECTORY_EXEC,START,,,,,37,,0.0150,,"[""cube3""]",,,,"{""settle_steps_per_wp"": 8, ""final_settle_steps"": 15}"
73,2026-05-14T06:11:34.755,TRAJECTORY_WAYPOINT,EXEC,,,,,1/37,,0.0150,,,,,,"{""q"": [0.1048, -0.0849, -0.3478, -2.4637, -0.0662, 2.3773, -1.218]}"
74,2026-05-14T06:11:34.954,TRAJECTORY_WAYPOINT,EXEC,,,,,10/37,,0.0150,,,,,,"{""q"": [0.0706, -0.0021, -0.3142, -2.4671, -0.0274, 2.4597, -1.237]}"
